,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30,Task 31,Task 32,Task 33
Onset,28.0,1212.0,2331.0,3365.0,4410.0,5673.0,6703.0,7633.0,9003.0,9947.0,10914.0,12141.0,16218.0,13220.0,15238.0,14268.0,21225.0,22134.0,20320.0,17123.0,19123.0,18163.0,28859.0,29775.0,26919.0,25980.0,27888.0,32597.0,30689.0,31646.0,23955.0,24883.0,23015.0
Duration,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
stim,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,tetris_h,tetris_l,tetris_m,tetris_h,tetris_m,tetris_l,vid_lvla,vid_lvha,vid_hvha,vid_neutral,vid_lvha,matb_l,matb_m,matb_h,tetris_h,tetris_m,tetris_l
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,2302002020,1101001010,2102002020,2302002020,2102002020,1101001010,0001020000,0001020000,0001020000,0001020000,0001020000,1111011110,1212021210,2212022220,2302002020,2102002020,1101001010
SAM_valence,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SAM_control,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAM_control,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
thumbs_up_down,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TLX_mental,14.0,10.0,0.0,5.0,5.0,19.0,5.0,5.0,10.0,19.0,10.0,5.0,5.0,5.0,5.0,0.0,14.0,0.0,5.0,14.0,14.0,0.0,5.0,14.0,5.0,5.0,5.0,10.0,5.0,5.0,0.0,5.0,0.0
TLX_physical,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_temporal,0.0,6.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,19.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,6.0,5.0,2.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
TLX_performance,16.0,14.0,16.0,16.0,19.0,16.0,14.0,14.0,17.0,0.0,14.0,14.0,16.0,16.0,16.0,17.0,14.0,17.0,17.0,16.0,17.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,14.0,16.0
TLX_effort,3.0,3.0,2.0,2.0,0.0,10.0,7.0,3.0,2.0,19.0,2.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLX_frustration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLX_enjoyment,4.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_value,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TLX_overall,7.0,7.0,4.0,5.0,5.0,10.0,6.0,5.0,10.0,11.0,10.0,4.0,5.0,5.0,5.0,4.0,8.0,4.0,5.0,9.0,8.0,3.0,5.0,8.0,5.0,5.0,5.0,6.0,5.0,4.0,3.0,4.0,3.0
