,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,Task 16,Task 17,Task 18,Task 19,Task 20,Task 21,Task 22,Task 23,Task 24,Task 25,Task 26,Task 27,Task 28,Task 29,Task 30
Onset,2401,6557,7720,21239,13528,17236,10121,11270,4625,14587,9085,16081,18754,20073,728,31954,22530,30928,30018,35486,26103,27757,28776,24536,33355,36752,37685,38635,39518,34453
Duration,300,170,610,670,300,760,310,1400,840,610,300,300,600,300,300,610,610,610,200,310,610,310,610,610,300,300,300,310,300,490
stim,engagement_h,engagement_m,engagement_h,engagement_m,engagement_l,engagement_h,engagement_h,engagement_h,engagement_l,engagement_h,engagement_l,engagement_l,engagement_m,engagement_l,engagement_l,engagement_m,engagement_h,engagement_m,engagement_l,engagement_m,engagement_h,engagement_m,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_h,engagement_l,engagement_m
task_vector,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000,0001020000
SAM_valence,4,3,3,3,4,3,4,5,3,5,3,4,3,2,4,4,3,3,5,4,1,5,3,5,5,3,4,1,4,3
SAM_control,1,1,2,1,1,1,3,4,1,2,1,3,1,3,4,3,4,1,4,3,1,5,1,5,5,1,4,1,1,1
thumbs_up_down,3,2,3,1,3,2,3,3,1,3,2,3,2,1,3,3,3,3,3,3,1,3,2,2,3,2,3,1,3,2
TLX_mental,1,1,6,1,1,1,4,1,1,1,4,2,1,5,2,3,2,2,2,1,7,2,5,1,1,1,1,5,1,5
TLX_temporal,1,1,5,6,1,5,4,1,5,1,5,1,4,7,2,5,2,3,2,2,7,2,6,1,1,2,1,7,1,6
TLX_frustration,1,1,5,4,1,1,1,1,5,1,4,1,4,6,1,1,1,1,1,1,6,1,4,1,1,5,1,7,1,5
TLX_enjoyment,5,4,2,1,5,4,7,7,1,7,3,6,4,1,6,6,5,4,7,6,1,7,2,6,7,1,6,1,5,1
closeness,2,3,2,5,2,3,2,1,4,2,3,2,3,5,1,2,2,3,2,1,5,2,3,3,1,4,2,5,2,4
inspired,4,4,4,5,3,4,2,2,4,4,4,3,4,5,2,2,3,3,3,3,5,3,4,2,2,4,2,5,2,4
attachment,3,4,4,5,2,4,2,2,4,2,4,2,4,5,2,3,3,3,3,1,5,3,3,2,2,5,2,5,3,4
competition,2,3,2,4,2,3,2,2,4,2,3,2,3,5,2,3,3,3,3,2,5,3,3,4,2,4,2,5,2,3
recommend,1,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
